source_line,date,anomaly_c,repaired_swap
88,1887-07-01,-0.68,False
89,1887-08-01,-0.635,False
90,1887-09-01,-0.786,False
91,1887-10-01,-0.762,False
92,1887-11-01,-0.759,False
93,1887-12-01,-0.826,False
94,1888-01-01,-0.659,False
95,1888-02-01,-0.636,False
96,1888-03-01,-0.638,False
97,1888-04-01,,False
98,1888-05-01,-0.749,False
99,1888-06-01,-0.69,False
100,1888-07-01,-0.705,False
101,1888-08-01,-0.766,False
102,1888-09-01,500.0,False
103,1888-10-01,-0.693,False
104,1888-11-01,-0.688,False
105,1888-12-01,-0.684,False
106,1889-01-01,-0.652,False
107,1889-02-01,-0.653,False
108,1889-03-01,-0.781,False
109,1889-04-01,-0.622,False
110,1889-05-01,-0.621,False
111,1889-06-01,-0.446,False
112,1889-07-01,-0.683,False
113,1889-08-01,-0.67,False
114,1889-09-01,-0.712,False
115,1889-10-01,-0.808,False
116,1889-11-01,-0.616,False
117,1889-12-01,-0.628,False
118,1890-01-01,,False
119,1890-02-01,-0.709,False
120,1890-03-01,-0.505,False
121,1890-04-01,-0.722,False
122,1890-05-01,-0.568,False
123,1890-06-01,-0.46,False
124,1890-07-01,-0.736,False
125,1890-08-01,-0.726,False
126,1890-09-01,-0.69,False
127,1890-10-01,-0.744,False
128,1890-11-01,-0.821,False
129,1890-12-01,-0.672,False
130,1891-01-01,-0.736,False
131,1891-02-01,-0.588,False
132,1891-03-01,-0.68,False
133,1891-04-01,-0.475,False
134,1891-05-01,-0.67,False
135,1891-06-01,-0.648,False
136,1891-07-01,-0.581,False
137,1891-08-01,500.0,False
138,1891-09-01,-0.67,False
139,1891-10-01,,False
140,1891-11-01,-0.815,False
141,1891-12-01,-0.652,False
142,1892-01-01,-0.62,False
143,1892-02-01,-0.553,False
144,1892-03-01,-0.695,False
145,1892-04-01,-0.694,False
146,1892-05-01,,False
147,1892-06-01,-0.588,False
148,1892-07-01,-0.616,False
149,1892-08-01,-0.632,False
150,1892-09-01,,False
151,1892-10-01,-0.665,False
152,1892-11-01,-0.652,False
153,1892-12-01,-0.714,False
154,1893-01-01,-0.481,False
155,1893-02-01,-0.581,False
156,1893-03-01,-0.681,False
157,1893-04-01,-0.525,False
158,1893-05-01,-0.662,False
159,1893-07-01,-0.533,True
160,1893-08-01,-0.715,False
161,1893-09-01,-0.59,False
162,1893-10-01,-0.64,False
163,1893-11-01,-0.599,False
164,1893-12-01,-0.494,False
165,1894-01-01,-0.64,False
166,1894-02-01,-0.654,False
167,1894-03-01,,False
168,1894-04-01,-0.633,False
169,1894-05-01,-0.579,False
170,1894-06-01,-0.563,False
171,1894-07-01,-0.593,False
172,1895-04-01,-0.518,False
173,1896-04-01,-0.516,False
174,1898-11-01,-0.61,False
175,1897-01-01,500.0,False
176,1896-09-01,-0.61,False
177,1898-01-01,-0.64,False
178,1898-02-01,-0.571,False
179,1898-05-01,-0.346,False
180,1894-12-01,-0.418,False
181,1898-08-01,-0.726,False
182,1895-06-01,-0.523,False
183,1897-04-01,-0.495,False
184,1898-06-01,-0.698,True
185,1895-03-01,-0.65,False
186,1897-08-01,-0.52,False
187,1897-10-01,-0.579,False
188,1896-03-01,-0.54,False
189,1899-03-01,-0.581,False
190,1898-10-01,-0.533,False
191,1894-10-01,-0.546,False
192,1898-12-01,-0.68,False
193,1896-11-01,-0.55,False
194,1896-01-01,-0.582,False
195,1896-08-01,-0.709,False
196,1895-08-01,-0.634,False
197,1898-04-01,-0.519,False
198,1895-09-01,-0.714,False
199,1898-07-01,-0.518,False
200,1897-03-01,-0.502,False
201,1895-01-01,-0.559,False
202,1896-12-01,-0.53,False
203,1897-09-01,-0.548,False
204,1897-11-01,-0.648,False
205,1898-03-01,,False
206,1897-05-01,-0.5,False
207,1895-07-01,-0.566,False
208,1896-06-01,-0.56,False
209,1897-07-01,-0.538,False
210,1894-09-01,-0.655,False
211,1895-02-01,-0.652,False
212,1896-02-01,-0.673,False
213,1896-05-01,-0.623,False
214,1896-10-01,-0.596,False
215,1895-05-01,-0.581,False
216,1895-11-01,-0.68,False
217,1897-02-01,-0.638,False
218,1898-09-01,-0.652,False
219,1894-08-01,-0.573,False
220,1899-02-01,-0.49,False
221,1897-12-01,-0.543,False
222,1899-03-01,-0.581,False
223,1899-04-01,-0.498,False
224,1901-03-01,-0.623,False
225,1899-12-01,-0.515,False
226,1901-10-01,-0.593,True
227,1903-02-01,-0.548,False
228,1901-07-01,-0.506,False
229,1903-03-01,-0.475,False
230,1900-03-01,-0.472,False
231,1899-10-01,-0.595,False
232,1900-07-01,-0.59,False
233,1902-09-01,-0.479,False
234,1899-07-01,-0.391,False
235,1900-11-01,-0.692,False
236,1900-04-01,-0.435,False
237,1901-12-01,-0.644,False
238,1902-04-01,-0.598,False
239,1899-06-01,-0.59,False
240,1901-02-01,-0.438,False
241,1900-01-01,-0.62,False
242,1905-10-01,-0.563,False
243,1903-04-01,-0.504,False
244,1900-12-01,-0.499,False
245,1899-08-01,-0.536,False
246,1905-08-01,,False
247,1903-01-01,-0.51,False
248,1901-11-01,-0.84,False
249,1901-08-01,-0.503,False
250,1902-02-01,-0.61,False
251,1900-03-01,-0.472,False
252,1902-07-01,-0.415,False
253,1899-05-01,-0.52,False
254,1902-01-01,-0.556,False
255,1900-06-01,500.0,False
256,1901-09-01,-0.66,False
257,1899-09-01,-0.766,False
258,1901-06-01,-0.574,False
259,1902-03-01,-0.36,False
260,1903-05-01,-0.47,False
261,1902-05-01,-0.524,False
262,1905-03-01,-0.4,False
263,1901-05-01,500.0,False
264,1900-02-01,-0.54,False
265,1902-12-01,-0.514,False
266,1900-08-01,-0.628,False
267,1900-05-01,-0.606,False
268,1902-10-01,-0.58,False
269,1902-08-01,-0.67,False
270,1907-09-01,-0.514,False
271,1899-11-01,-0.655,False
272,1902-06-01,-0.496,False
273,1900-10-01,500.0,False
274,1901-01-01,-0.38,False
275,1900-09-01,-0.452,False
276,1907-07-01,-0.479,False
277,1903-09-01,-0.391,True
278,1902-11-01,-0.649,False
279,1904-05-01,-0.515,False
280,1906-12-01,-0.342,False
281,1905-01-01,-999.0,False
282,1906-05-01,-0.393,False
283,1906-01-01,-0.428,False
284,1907-06-01,-0.404,False
285,1906-08-01,-0.523,False
286,1907-04-01,-0.368,False
287,1905-05-01,-0.459,False
288,1904-03-01,-0.49,False
289,1903-07-01,-0.393,False
290,1906-04-01,-0.44,False
291,1904-01-01,-0.493,False
292,1903-12-01,-0.494,False
293,1904-09-01,-0.479,False
294,1907-05-01,-0.39,False
295,1904-07-01,-0.481,False
296,1904-08-01,-0.589,False
297,1905-07-01,-0.4,False
298,1906-06-01,-0.489,True
299,1905-12-01,-0.432,False
300,1905-09-01,500.0,False
301,1905-02-01,-0.523,False
302,1903-11-01,-0.572,False
303,1906-03-01,-0.345,False
304,1905-04-01,-0.403,False
305,1903-08-01,-0.643,False
306,1907-01-01,-0.564,False
307,1906-02-01,-0.403,False
308,1904-10-01,-0.533,False
309,1907-07-01,-0.479,True
310,1907-02-01,-0.555,False
311,1905-06-01,-0.466,False
312,1905-11-01,-0.556,False
313,1904-04-01,-0.502,False
314,1906-09-01,-0.523,False
315,1904-06-01,-0.418,False
316,1906-10-01,-0.489,False
317,1904-02-01,-0.539,False
318,1903-06-01,-0.443,False
319,1904-11-01,-0.485,False
320,1907-08-01,-0.574,False
321,1904-12-01,-0.48,False
322,1906-11-01,-0.594,False
323,1907-10-01,-0.58,False
324,1907-11-01,-0.44,False
325,1907-12-01,-0.511,False
326,1908-01-01,-0.539,False
327,1908-02-01,-0.473,False
328,1908-03-01,-0.395,False
329,1908-04-01,-0.465,False
330,1908-05-01,500.0,False
331,1908-06-01,-0.424,False
332,1908-07-01,-0.448,False
333,1908-08-01,-0.532,False
334,1908-09-01,-0.55,True
335,1908-10-01,-0.5,False
336,1908-11-01,-0.623,False
337,1908-12-01,-0.601,False
338,1908-12-01,-0.601,False
339,1909-01-01,-0.52,False
340,1909-02-01,-0.454,False
341,1909-03-01,,False
342,1909-04-01,,False
343,1909-05-01,-0.35,False
344,1909-06-01,-0.446,False
345,1909-07-01,-0.459,False
346,1909-08-01,-0.562,False
347,1909-09-01,500.0,False
348,1909-10-01,-0.528,False
349,1909-11-01,-0.471,False
350,1909-12-01,-0.544,False
351,1910-01-01,-0.41,False
352,1910-02-01,-0.304,False
353,1910-03-01,-500.0,False
354,1910-04-01,-0.37,False
355,1910-05-01,-0.35,False
356,1910-06-01,-0.455,False
357,1910-07-01,-0.429,False
358,1910-08-01,,False
359,1910-09-01,-0.48,False
360,1910-10-01,-0.556,False
361,1910-11-01,-0.485,False
362,1910-12-01,-0.428,False
363,1911-01-01,-0.325,False
364,1911-02-01,-0.339,False
365,1911-03-01,-0.224,False
366,1911-04-01,-0.45,False
367,1911-05-01,-0.325,False
368,1911-06-01,-0.4,False
369,1911-07-01,-0.261,False
370,1911-08-01,-0.525,False
371,1911-09-01,-0.545,False
372,1911-10-01,-0.532,False
373,1911-11-01,-0.646,True
374,1911-12-01,-0.499,False
375,1912-01-01,-0.492,False
376,1912-02-01,-0.393,False
377,1912-03-01,-0.359,False
378,1912-04-01,-0.228,False
379,1912-05-01,-0.308,False
380,1912-06-01,-0.448,False
381,1912-07-01,-0.498,False
382,1912-08-01,-0.411,False
383,1912-09-01,-0.573,False
384,1912-10-01,-0.33,False
385,1912-11-01,-0.371,False
386,1912-12-01,-0.484,False
387,1913-01-01,-0.558,False
388,1913-02-01,-0.286,False
389,1913-03-01,-0.385,False
390,1913-04-01,-0.269,False
391,1913-05-01,-0.501,False
392,1913-06-01,-0.439,False
393,1913-07-01,-0.415,False
394,1913-08-01,-0.436,False
395,1913-09-01,-0.493,False
396,1913-10-01,-500.0,False
397,1913-11-01,-0.54,False
398,1914-01-01,-0.4,False
399,1914-02-01,-0.343,False
400,1914-03-01,-0.308,False
401,1914-04-01,,False
402,1914-05-01,-0.486,False
403,1914-06-01,-0.278,False
404,1914-07-01,-0.378,False
405,1914-08-01,-0.489,False
406,1914-09-01,-0.322,False
407,1914-10-01,-0.443,False
408,1914-11-01,-0.35,False
409,1914-12-01,-0.42,False
410,1915-01-01,-0.235,False
411,1915-02-01,-0.233,False
412,1915-03-01,-0.374,False
413,1915-04-01,-0.269,False
414,1915-05-01,-0.301,False
415,1915-06-01,-0.261,False
416,1915-06-01,-0.261,False
417,1915-07-01,-0.471,False
418,1915-08-01,-0.363,False
419,1915-09-01,-0.351,False
420,1915-10-01,-0.582,False
421,1915-11-01,-0.529,False
422,1915-12-01,-0.578,False
423,1916-01-01,-0.411,False
424,1916-02-01,-0.306,False
425,1916-03-01,-0.224,False
426,1916-04-01,-0.33,False
427,1916-05-01,-0.212,False
428,1916-06-01,-0.47,False
429,1916-07-01,-0.52,False
430,1916-08-01,-0.412,False
431,1916-10-01,-0.434,False
432,1916-11-01,-0.589,True
433,1916-12-01,-0.412,False
434,1917-01-01,-0.483,False
435,1917-02-01,-0.299,False
436,1917-03-01,-0.304,False
437,1917-05-01,-0.373,False
438,1917-06-01,,False
439,1917-07-01,-0.378,False
440,1917-09-01,-0.494,False
441,1917-10-01,999.0,False
442,1917-11-01,-0.455,False
443,1917-12-01,-0.46,False
444,1918-01-01,,False
445,1918-03-01,-0.37,False
446,1918-04-01,-0.411,False
447,1918-05-01,-0.164,False
448,1918-06-01,-0.336,False
449,1918-07-01,-0.419,False
450,1918-08-01,-0.37,False
451,1918-09-01,-0.413,False
452,1918-10-01,-0.428,False
453,1918-11-01,-0.353,False
454,1918-12-01,-0.323,False
455,1919-01-01,-0.4,False
456,1919-02-01,-0.378,False
457,1919-03-01,-0.334,False
458,1919-04-01,,False
459,1919-05-01,-0.432,False
460,1919-06-01,-0.219,False
461,1919-07-01,-0.221,False
462,1919-08-01,-0.396,False
463,1919-10-01,-0.375,False
464,1919-11-01,-0.146,False
465,1919-12-01,-0.283,False
466,1920-01-01,-0.36,False
467,1920-02-01,-0.398,False
468,1920-03-01,-0.43,False
469,1920-04-01,-0.278,False
470,1920-05-01,-0.361,False
471,1920-06-01,-0.431,False
472,1920-07-01,-0.393,False
473,1920-08-01,-0.452,False
474,1920-09-01,-0.248,False
475,1920-10-01,,False
476,1920-11-01,-0.382,False
477,1920-12-01,500.0,False
478,1921-01-01,,False
479,1921-02-01,-0.38,False
480,1921-03-01,-0.17,False
481,1921-04-01,-0.241,False
482,1921-05-01,-0.373,False
483,1921-06-01,-0.322,False
484,1921-07-01,-0.401,False
485,1921-08-01,-999.0,False
486,1921-09-01,-0.299,False
487,1921-11-01,-0.483,False
488,1921-12-01,-0.31,False
489,1922-01-01,-0.378,False
490,1922-02-01,-0.339,False
491,1922-03-01,-0.328,False
492,1922-04-01,-0.342,False
493,1922-05-01,-0.275,False
494,1922-06-01,-0.363,False
495,1922-07-01,-0.299,False
496,1922-08-01,-0.349,False
497,1922-09-01,-0.381,False
498,1922-10-01,-0.441,False
499,1922-11-01,-0.41,False
500,1922-12-01,-0.281,False
501,1923-01-01,-0.275,False
502,1923-02-01,-0.368,False
503,1923-03-01,-0.263,False
504,1923-04-01,-0.203,False
505,1923-05-01,-0.402,False
506,1923-06-01,-0.243,False
507,1923-07-01,-0.363,False
508,1923-08-01,-0.289,False
509,1923-09-01,-0.413,False
510,1923-10-01,,False
511,1923-11-01,-0.48,False
512,1923-12-01,-0.33,False
513,1924-01-01,-0.284,False
514,1924-02-01,-999.0,False
515,1924-03-01,-0.209,False
516,1924-04-01,-0.385,False
517,1927-02-01,-0.28,False
518,1927-01-01,999.0,False
519,1926-05-01,-0.276,False
520,1928-09-01,-0.285,False
521,1925-09-01,-0.301,False
522,1928-04-01,,False
523,1927-03-01,-0.391,False
524,1927-04-01,-0.302,False
525,1925-11-01,-0.322,False
526,1926-08-01,-0.34,False
527,1924-09-01,-0.41,False
528,1924-05-01,-0.263,False
529,1925-12-01,-0.322,False
530,1926-07-01,-0.25,False
531,1924-11-01,-0.259,False
532,1928-07-01,-0.21,False
533,1926-01-01,-0.191,False
534,1926-09-01,-0.3,False
535,1927-09-01,-0.284,False
536,1927-07-01,-0.27,False
537,1925-04-01,-0.13,False
538,1926-10-01,-0.16,False
539,1926-04-01,-0.264,False
540,1928-01-01,-0.244,False
541,1927-08-01,-0.158,False
542,1926-11-01,500.0,False
543,1926-02-01,-0.238,False
544,1928-08-01,-0.1,False
545,1926-03-01,-0.212,False
546,1925-08-01,-0.33,False
547,1925-03-01,-0.21,False
548,1925-10-01,-0.385,False
549,1927-05-01,,False
550,1927-12-01,,False
551,1925-05-01,-0.445,False
552,1926-06-01,-0.289,False
553,1925-01-01,-0.228,False
554,1928-05-01,-0.189,False
555,1928-06-01,-0.27,False
556,1924-12-01,-0.37,False
557,1928-03-01,-0.336,False
558,1925-07-01,-0.243,False
559,1928-02-01,-0.175,False
560,1927-10-01,,False
561,1924-08-01,-0.32,False
562,1924-10-01,-0.378,False
563,1927-11-01,-0.242,False
564,1924-06-01,-0.373,False
565,1924-07-01,-0.352,False
566,1925-06-01,-0.329,False
567,1928-10-01,-0.285,False
568,1928-11-01,-0.334,False
569,1928-12-01,-0.346,False
570,1929-01-01,-0.186,False
571,1929-02-01,-0.295,False
572,1929-03-01,-0.202,False
573,1929-04-01,-0.238,False
574,1929-05-01,-0.17,False
575,1929-06-01,-0.196,False
576,1929-07-01,-0.164,False
577,1929-08-01,-0.312,False
578,1929-09-01,,False
579,1929-10-01,-0.373,False
580,1929-11-01,-0.323,False
581,1929-12-01,-0.238,False
582,1930-02-01,-0.29,False
583,1930-03-01,-0.13,False
584,1930-04-01,500.0,False
585,1930-05-01,-0.162,False
586,1930-06-01,-0.062,False
587,1930-07-01,-0.299,False
588,1930-08-01,-0.36,False
589,1930-09-01,-0.421,False
590,1930-10-01,-500.0,False
591,1930-11-01,-0.224,False
592,1930-12-01,-0.262,False
593,1931-01-01,-0.209,False
594,1931-02-01,-0.296,False
595,1931-03-01,0.009,False
596,1931-04-01,-0.169,False
597,1931-05-01,-0.176,False
598,1931-06-01,-0.144,False
599,1931-07-01,-0.188,False
600,1931-08-01,-0.232,False
601,1931-09-01,,False
602,1931-10-01,-0.236,False
603,1931-11-01,-0.115,False
604,1931-12-01,-0.139,False
605,1932-01-01,-0.094,False
606,1932-02-01,-0.236,False
607,1932-03-01,-0.255,False
608,1932-04-01,-0.178,False
609,1932-05-01,-0.17,False
610,1932-06-01,-0.104,False
611,1932-07-01,-0.351,False
612,1932-08-01,-0.118,False
613,1932-09-01,-0.27,False
614,1932-10-01,-0.3,False
615,1932-11-01,-0.34,False
616,1932-12-01,-0.369,False
617,1933-01-01,-0.145,False
618,1933-02-01,-0.179,False
619,1933-03-01,-0.269,False
620,1933-04-01,-0.261,False
621,1933-04-01,-0.261,False
622,1933-05-01,-0.191,False
623,1933-06-01,-0.048,False
624,1933-07-01,-0.226,False
625,1933-08-01,-0.35,False
626,1933-09-01,-0.266,False
627,1933-10-01,-0.274,False
628,1933-11-01,-0.461,False
629,1933-12-01,-0.23,False
630,1934-01-01,-0.218,False
631,1934-02-01,-0.118,False
632,1934-03-01,-0.01,False
633,1934-04-01,-0.06,False
634,1934-05-01,-0.175,False
635,1934-06-01,-0.259,False
636,1934-07-01,0.011,False
637,1934-08-01,-0.214,False
638,1934-09-01,-0.235,False
639,1934-10-01,-0.244,False
640,1934-11-01,-0.219,False
641,1934-12-01,500.0,False
642,1935-01-01,-0.235,False
643,1935-02-01,-0.21,False
644,1935-03-01,-0.15,False
645,1935-04-01,-0.18,False
646,1935-05-01,-0.2,False
647,1935-06-01,-0.152,False
648,1935-07-01,-0.205,False
649,1935-08-01,-0.088,False
650,1935-09-01,-0.438,False
651,1935-10-01,-0.144,False
652,1935-11-01,-0.124,False
653,1935-12-01,-0.371,False
654,1936-01-01,,False
655,1936-02-01,-0.183,True
656,1936-03-01,,False
657,1936-04-01,-0.189,False
658,1936-05-01,-0.221,False
659,1936-06-01,-0.009,False
660,1937-09-01,-0.291,False
661,1939-04-01,-0.103,False
662,1938-02-01,-0.232,False
663,1936-08-01,-0.096,False
664,1940-02-01,-0.248,False
665,1940-05-01,-0.08,False
666,1940-10-01,-0.241,False
667,1940-04-01,-0.025,False
668,1939-09-01,-0.175,False
669,1939-03-01,-0.086,False
670,1937-11-01,-0.156,False
671,1940-03-01,-0.2,False
672,1939-02-01,0.014,False
673,1940-06-01,-0.122,False
674,1937-01-01,-0.266,False
675,1940-01-01,-0.112,False
676,1939-07-01,-0.145,False
677,1940-07-01,-0.13,False
678,1939-12-01,-0.17,False
679,1938-06-01,-0.045,False
680,1939-05-01,-0.144,False
681,1939-06-01,-0.086,False
682,1936-07-01,-0.099,False
683,1936-12-01,-0.155,False
684,1938-08-01,-0.29,False
685,1937-08-01,-0.095,False
686,1938-03-01,-0.039,False
687,1938-04-01,-0.12,False
688,1938-12-01,-0.033,False
689,1938-10-01,-0.152,False
690,1936-10-01,-0.311,False
691,1937-03-01,-0.143,False
692,1940-08-01,-0.128,False
693,1937-10-01,,True
694,1939-01-01,-0.314,False
695,1939-11-01,-0.211,False
696,1939-08-01,-0.078,False
697,1938-07-01,-0.209,False
698,1937-05-01,-0.065,False
699,1938-11-01,-0.295,False
700,1937-04-01,-0.146,False
701,1937-12-01,-0.209,False
702,1937-02-01,-0.086,False
703,1936-11-01,-0.256,False
704,1938-05-01,-0.153,False
705,1937-07-01,-0.192,False
706,1939-10-01,-0.178,False
707,1936-09-01,-0.158,False
708,1940-09-01,-0.216,False
709,1937-09-01,-0.291,False
710,1940-11-01,-0.156,False
711,1940-12-01,-0.231,False
712,1941-01-01,-0.094,False
713,1941-02-01,-0.24,False
714,1941-03-01,0.001,False
715,1941-05-01,-0.059,False
716,1941-06-01,-0.019,False
717,1941-07-01,0.012,False
718,1941-08-01,-0.064,False
719,1941-09-01,-0.31,False
720,1941-10-01,-0.271,False
721,1941-11-01,-0.211,False
722,1941-12-01,-0.14,False
723,1942-01-01,-0.075,False
724,1942-02-01,-0.148,False
725,1942-03-01,-0.056,False
726,1942-04-01,-0.124,False
727,1942-05-01,-0.118,False
728,1942-06-01,-0.199,False
729,1942-07-01,-0.185,False
730,1942-08-01,-0.243,False
731,1942-09-01,-0.23,False
732,1942-10-01,-0.074,False
733,1942-11-01,-0.23,False
734,1942-12-01,0.079,False
735,1943-01-01,-0.066,True
736,1943-02-01,-0.065,False
737,1943-03-01,-0.129,False
738,1943-04-01,,False
739,1943-05-01,-0.105,False
740,1943-06-01,-0.066,False
741,1943-07-01,500.0,False
742,1943-08-01,-0.132,False
743,1943-09-01,-0.05,False
744,1943-10-01,-0.204,False
745,1943-11-01,-0.143,False
746,1943-12-01,0.021,False
747,1944-01-01,-0.145,False
748,1944-02-01,0.076,False
749,1944-03-01,0.007,False
750,1944-04-01,-0.09,False
751,1944-05-01,,False
752,1944-06-01,0.012,False
753,1944-07-01,-0.04,False
754,1944-09-01,-0.189,False
755,1944-10-01,-0.16,False
756,1944-12-01,-0.061,False
757,1945-01-01,-0.07,False
758,1945-02-01,,False
759,1945-03-01,-0.009,False
760,1945-04-01,0.017,False
761,1945-05-01,0.007,False
762,1945-06-01,0.031,False
763,1945-07-01,-0.013,False
764,1945-08-01,-0.07,False
765,1945-09-01,-0.126,False
766,1945-10-01,-0.26,False
767,1945-11-01,-0.085,False
768,1945-12-01,-0.083,False
769,1946-01-01,,False
770,1946-02-01,-0.15,False
771,1946-03-01,-0.115,False
772,1946-04-01,0.06,False
773,1946-05-01,-0.03,False
774,1946-06-01,0.01,False
775,1946-07-01,-0.066,False
776,1946-08-01,-0.09,False
777,1946-08-01,-0.09,False
778,1946-09-01,-0.035,False
779,1946-10-01,-0.16,False
780,1946-11-01,-0.101,False
781,1946-12-01,-0.126,False
782,1947-01-01,-0.098,False
783,1947-02-01,-0.062,True
784,1947-03-01,-0.001,False
785,1947-04-01,-0.049,False
786,1947-05-01,0.084,False
787,1947-06-01,-0.106,False
788,1947-07-01,-0.073,False
789,1947-08-01,,False
790,1947-09-01,,False
791,1947-10-01,-0.09,False
792,1947-11-01,500.0,False
793,1947-12-01,-0.198,False
794,1948-01-01,-0.032,False
795,1948-02-01,0.044,False
796,1948-03-01,-0.001,False
797,1948-04-01,0.085,False
798,1948-05-01,-0.048,False
799,1948-06-01,0.089,False
800,1948-07-01,0.136,False
801,1948-08-01,-0.101,False
802,1948-09-01,-0.125,False
803,1948-10-01,0.021,False
804,1948-11-01,0.039,False
805,1948-12-01,-0.11,False
806,1949-01-01,-0.076,False
807,1949-02-01,-0.039,False
808,1949-03-01,-0.105,False
809,1949-04-01,-0.063,False
810,1949-05-01,-0.076,False
811,1949-06-01,-0.075,False
812,1949-07-01,-0.04,False
813,1949-08-01,-0.043,False
814,1949-09-01,0.045,False
815,1949-10-01,-0.164,False
816,1949-11-01,0.002,False
817,1949-12-01,-0.075,False
818,1950-01-01,-0.036,False
819,1950-02-01,0.048,False
820,1950-03-01,-0.08,False
821,1950-04-01,0.051,False
822,1952-12-01,0.117,False
823,1954-09-01,-0.04,False
824,1953-04-01,0.147,False
825,1954-02-01,0.125,False
826,1952-10-01,-0.112,False
827,1953-05-01,0.248,False
828,1954-08-01,0.04,False
829,1951-02-01,0.099,False
830,1951-06-01,500.0,False
831,1951-11-01,0.068,False
832,1950-09-01,-0.119,False
833,1951-04-01,,False
834,1953-07-01,-0.034,False
835,1950-11-01,-0.116,False
836,1950-05-01,,False
837,1952-08-01,-0.094,False
838,1951-09-01,-0.042,False
839,1952-11-01,-0.048,False
840,1950-06-01,0.037,False
841,1953-11-01,0.012,False
842,1952-07-01,-0.02,False
843,1955-06-01,0.054,False
844,1953-03-01,0.04,False
845,1952-03-01,0.057,False
846,1955-07-01,-0.083,False
847,1953-08-01,0.064,True
848,1955-03-01,0.068,False
849,1954-06-01,0.13,False
850,1953-10-01,0.105,False
851,1950-07-01,-0.004,False
852,1952-06-01,0.179,False
853,1950-08-01,0.146,False
854,1951-10-01,-0.185,False
855,1950-10-01,-0.12,False
856,1955-04-01,0.175,False
857,1955-02-01,0.015,False
858,1954-04-01,0.1,False
859,1954-03-01,0.121,False
860,1953-12-01,-0.045,False
861,1952-04-01,500.0,False
862,1953-09-01,0.018,False
863,1953-02-01,0.04,False
864,1954-10-01,-0.02,False
865,1951-12-01,0.107,False
866,1951-03-01,0.137,False
867,1953-01-01,-0.042,False
868,1955-05-01,0.08,False
869,1951-01-01,-0.072,False
870,1952-09-01,-0.158,False
871,1951-07-01,-0.06,False
872,1954-01-01,0.057,False
873,1954-07-01,0.126,False
874,1953-06-01,-0.014,False
875,1955-01-01,0.05,False
876,1951-05-01,-0.041,False
877,1952-05-01,0.088,False
878,1954-12-01,-0.071,False
879,1954-11-01,0.072,False
880,1954-05-01,0.142,False
881,1950-12-01,999.0,False
882,1955-08-01,0.061,False
883,1955-09-01,0.036,False
884,1955-10-01,0.151,False
885,1955-11-01,-0.039,False
886,1955-12-01,0.02,False
887,1956-01-01,0.051,False
